"model","method","gamma4_resid","g3_theor","aic","bic","rmse_24"
"ARIMA(0,1,1)(0,1,1)_12","CSS-ML",0.0667570291134245,0.999433773061968,178.155721279135,190.516613535988,0.343717670916244
"ARIMA(0,1,1)(0,1,1)_12","MLE",0.0667996440428489,0.999433059400722,178.155733253966,190.516625510818,0.343720555159629
"ARIMA(0,1,1)(0,1,1)_12","PMM3",-0.161120305636652,0.994355472091952,NA,NA,0.346746235292488
"ARIMA(1,1,0)(1,1,0)_12","CSS-ML",0.0324293254749142,0.999819986338461,305.813958201529,318.174850458382,0.396700844753984
"ARIMA(1,1,0)(1,1,0)_12","MLE",0.0324293845448427,0.999819985835311,305.813958191881,318.174850448734,0.396700715518811
"ARIMA(1,1,0)(1,1,0)_12","PMM3",0.00627509933524184,0.999992109414135,NA,NA,0.40131544351635
