"lambda","mu2","mu4","mu6","gamma4","gamma6","g3","improvement_pct","is_bimodal","mode"
0.5,1.25,4.5625,27.203125,-0.0800000000000063,0.12800000000005,0.998816568047337,0.118343195266291,FALSE,"unimodal"
1,2,10,76,-0.5,2,0.928571428571429,7.14285714285714,FALSE,"unimodal"
1.5,3.25,21.5625,203.578125,-0.958579881656805,5.30905780609923,0.657371142096193,34.2628857903807,TRUE,"bimodal"
2,5,43,499,-1.28,8.192,0.386826347305388,61.3173652694612,TRUE,"bimodal"
3,10,138,2364,-1.62,11.664,0.149027237354085,85.0972762645915,TRUE,"bimodal"
5,26,778.000000000001,26140,-1.84911242603551,14.2239417387347,0.0454261095661448,95.4573890433855,TRUE,"bimodal"
